1.Mose,1Mos,Genesis,Gen
2.Mose,2Mos,Exodus,Ex
3.Mose,3Mos,Levitikus,Lev
4.Mose,4Mos,Numeri,Num
5.Mose,5Mos,Deuteronomium,Dtn
Josua,Jos
Richter,Ri
Rut,Rut
1.Samuel,1Sam
2.Samuel,2Sam
1.Könige,1Kön
2.Könige,2Kön
1.Chronik,1Chr
2.Chronik,2Chr
Esra,Esra
Nehemia,Neh
Ester,Est
Hiob,Hi,Ijob,Job
Psalmen,Ps
Sprüche,Spr
Prediger,Pred,Kohelet,Koh
Hoheslied,Hld,Hohes Lied
Klagelieder,Klgl,Klag
Jesaja,Jes
Jeremia,Jer
Hesekiel,Hes,Ezechiel,Ez
Daniel,Dan
Hosea,Hos
Joel,Joel
Amos,Am
Obadja,Obd
Jona,Jona
Micha,Mi
Nahum,Nah
Habakuk,Hab
Zefanja,Zef
Haggai,Hag
Sacharja,Sach
Maleachi,Mal
Matthäus,Mt
Markus,Mk
Lukas,Lk
Johannes,Joh
Apostelgeschichte,Apg
Römer,Röm
1.Korinther,1Kor
2.Korinther,2Kor
Galater,Gal
Epheser,Eph
Philipper,Phil
Kolosser,Kol
1.Thessalonicher,1Thess
2.Thessalonicher,2Thess
1.Timotheus,1Tim
2.Timotheus,2Tim
Titus,Tit
Philemon,Phlm
Hebräer,Hebr
Jakobus,Jak
1.Petrus,1Petr
2.Petrus,2Petr
1.Johannes,1Joh
2.Johannes,2Joh
3.Johannes,3Joh
Judas,Jud
Offenbarung,Offb
